"annotation_id","annotator","created_at","id","lead_time","pos","text","updated_at"
71,"1","2025-01-24T14:11:32.689006Z",41,153.808,"[{""start"":0,""end"":9,""text"":""राजस्थान "",""labels"":[""PROPN""]},{""start"":12,""end"":15,""text"":""CM "",""labels"":[""PROPN""]},{""start"":91,""end"":100,""text"":""Interview"",""labels"":[""NOUN""]},{""start"":70,""end"":76,""text"":""शेखावत"",""labels"":[""PROPN""]},{""start"":76,""end"":79,""text"":""..."",""labels"":[""X""]},{""start"":80,""end"":86,""text"":""देखिए "",""labels"":[""VERB""]},{""start"":86,""end"":91,""text"":""पूरा "",""labels"":[""ADJ""]},{""start"":9,""end"":12,""text"":""के "",""labels"":[""ADP""]},{""start"":15,""end"":20,""text"":""बनने "",""labels"":[""VERB""]},{""start"":20,""end"":23,""text"":""के "",""labels"":[""ADP""]},{""start"":23,""end"":28,""text"":""सवाल "",""labels"":[""NOUN""]},{""start"":28,""end"":31,""text"":""पर "",""labels"":[""ADP""]},{""start"":31,""end"":36,""text"":""क्या "",""labels"":[""PRON_WH""]},{""start"":36,""end"":41,""text"":""बोले "",""labels"":[""VERB""]},{""start"":41,""end"":50,""text"":""केंद्रीय "",""labels"":[""ADJ""]},{""start"":50,""end"":57,""text"":""मंत्री "",""labels"":[""NOUN""]},{""start"":57,""end"":65,""text"":""गजेंद्र "",""labels"":[""PROPN""]},{""start"":65,""end"":70,""text"":""सिंह "",""labels"":[""PROPN""]}]","राजस्थान के CM बनने के सवाल पर क्या बोले केंद्रीय मंत्री गजेंद्र सिंह शेखावत... देखिए पूरा Interview","2025-01-24T14:11:32.689006Z"
72,"1","2025-01-24T14:14:20.335259Z",42,161.749,"[{""start"":0,""end"":6,""text"":""World "",""labels"":[""NOUN""]},{""start"":6,""end"":10,""text"":""Cup "",""labels"":[""NOUN""]},{""start"":10,""end"":16,""text"":""Final "",""labels"":[""NOUN""]},{""start"":16,""end"":20,""text"":""2023"",""labels"":[""NUM""]},{""start"":20,""end"":21,""text"":"":"",""labels"":[""X""]},{""start"":27,""end"":38,""text"":""रोहित-विराट"",""labels"":[""NOUN""]},{""start"":22,""end"":27,""text"":""क्या "",""labels"":[""PRON_WH""]},{""start"":39,""end"":42,""text"":""अब "",""labels"":[""ADV""]},{""start"":42,""end"":49,""text"":""वर्ल्ड "",""labels"":[""NOUN""]},{""start"":49,""end"":52,""text"":""कप "",""labels"":[""NOUN""]},{""start"":52,""end"":57,""text"":""नहीं "",""labels"":[""PART_NEG""]},{""start"":57,""end"":65,""text"":""खेलेंगे "",""labels"":[""VERB""]},{""start"":65,""end"":66,""text"":""|"",""labels"":[""X""]},{""start"":67,""end"":73,""text"":""Virat "",""labels"":[""PROPN""]},{""start"":73,""end"":79,""text"":""Kohli "",""labels"":[""PROPN""]},{""start"":81,""end"":87,""text"":""Rohit "",""labels"":[""PROPN""]},{""start"":87,""end"":93,""text"":""Sharma"",""labels"":[""PROPN""]},{""start"":79,""end"":81,""text"":""| "",""labels"":[""X""]}]","World Cup Final 2023: क्या रोहित-विराट अब वर्ल्ड कप नहीं खेलेंगे | Virat Kohli | Rohit Sharma","2025-01-24T14:14:20.335259Z"
73,"1","2025-01-24T14:15:39.424390Z",43,77.107,"[{""start"":11,""end"":17,""text"":""Tunnel"",""labels"":[""NOUN""]},{""start"":18,""end"":24,""text"":""Rescue"",""labels"":[""NOUN""]},{""start"":0,""end"":11,""text"":""Uttarkashi "",""labels"":[""PROPN""]},{""start"":26,""end"":36,""text"":""उत्तरकाशी "",""labels"":[""PROPN""]},{""start"":24,""end"":26,""text"":"": "",""labels"":[""X""]},{""start"":36,""end"":40,""text"":""टनल "",""labels"":[""NOUN""]},{""start"":40,""end"":44,""text"":""में "",""labels"":[""ADP""]},{""start"":44,""end"":49,""text"":""फंसे "",""labels"":[""VERB""]},{""start"":49,""end"":52,""text"":""41 "",""labels"":[""NUM""]},{""start"":52,""end"":60,""text"":""मजदूरों "",""labels"":[""NOUN""]},{""start"":60,""end"":63,""text"":""का "",""labels"":[""ADP""]},{""start"":63,""end"":68,""text"":""पहला "",""labels"":[""ADJ""]},{""start"":68,""end"":73,""text"":""VIDEO"",""labels"":[""NOUN""]}]","Uttarkashi Tunnel Rescue: उत्तरकाशी टनल में फंसे 41 मजदूरों का पहला VIDEO","2025-01-24T14:15:39.424390Z"
74,"1","2025-01-24T14:17:42.680570Z",44,116.14,"[{""start"":0,""end"":6,""text"":""World "",""labels"":[""NOUN""]},{""start"":6,""end"":10,""text"":""Cup "",""labels"":[""NOUN""]},{""start"":10,""end"":16,""text"":""Final "",""labels"":[""NOUN""]},{""start"":16,""end"":20,""text"":""2023"",""labels"":[""NUM""]},{""start"":20,""end"":21,""text"":"":"",""labels"":[""X""]},{""start"":22,""end"":28,""text"":""फाइनल "",""labels"":[""NOUN""]},{""start"":28,""end"":32,""text"":""में "",""labels"":[""ADP""]},{""start"":32,""end"":38,""text"":""INDIA "",""labels"":[""PROPN""]},{""start"":38,""end"":40,""text"":""6 "",""labels"":[""NUM""]},{""start"":40,""end"":46,""text"":""विकेट "",""labels"":[""NOUN""]},{""start"":49,""end"":54,""text"":""हारा "",""labels"":[""VERB""]},{""start"":46,""end"":49,""text"":""से "",""labels"":[""ADP""]},{""start"":56,""end"":60,""text"":""IND "",""labels"":[""PROPN""]},{""start"":63,""end"":66,""text"":""AUS"",""labels"":[""PROPN""]},{""start"":60,""end"":63,""text"":""Vs "",""labels"":[""CONJ""]},{""start"":54,""end"":56,""text"":""| "",""labels"":[""X""]}]","World Cup Final 2023: फाइनल में INDIA 6 विकेट से हारा | IND Vs AUS","2025-01-24T14:17:42.680570Z"
75,"1","2025-01-24T14:21:29.677620Z",45,216.52100000000002,"[{""start"":0,""end"":6,""text"":""World "",""labels"":[""PROPN""]},{""start"":6,""end"":10,""text"":""Cup "",""labels"":[""PROPN""]},{""start"":10,""end"":16,""text"":""Final "",""labels"":[""PROPN""]},{""start"":16,""end"":20,""text"":""2023"",""labels"":[""NUM""]},{""start"":20,""end"":22,""text"":"": "",""labels"":[""X""]},{""start"":22,""end"":26,""text"":""मां "",""labels"":[""NOUN""]},{""start"":26,""end"":29,""text"":""ने "",""labels"":[""ADP""]},{""start"":29,""end"":33,""text"":""शमी "",""labels"":[""PROPN""]},{""start"":33,""end"":36,""text"":""से "",""labels"":[""ADP""]},{""start"":36,""end"":40,""text"":""कहा "",""labels"":[""VERB""]},{""start"":40,""end"":45,""text"":""बेटा "",""labels"":[""NOUN""]},{""start"":45,""end"":51,""text"":""world "",""labels"":[""NOUN""]},{""start"":51,""end"":54,""text"":""cup"",""labels"":[""NOUN""]},{""start"":55,""end"":60,""text"":""चाहिए"",""labels"":[""VERB""]},{""start"":60,""end"":61,""text"":"","",""labels"":[""X""]},{""start"":62,""end"":68,""text"":""finals"",""labels"":[""NOUN""]},{""start"":69,""end"":72,""text"":""से "",""labels"":[""ADP""]},{""start"":72,""end"":77,""text"":""पहले "",""labels"":[""ADV""]},{""start"":77,""end"":81,""text"":""शमी "",""labels"":[""PROPN""]},{""start"":81,""end"":84,""text"":""की "",""labels"":[""ADP""]},{""start"":93,""end"":96,""text"":""बात"",""labels"":[""VERB""]},{""start"":84,""end"":90,""text"":""अम्मी "",""labels"":[""NOUN""]},{""start"":90,""end"":93,""text"":""से "",""labels"":[""ADP""]}]","World Cup Final 2023: मां ने शमी से कहा बेटा world cup चाहिए, finals से पहले शमी की अम्मी से बात","2025-01-24T14:21:29.677620Z"
76,"1","2025-01-24T14:23:47.931489Z",46,129.496,"[{""start"":0,""end"":6,""text"":""World "",""labels"":[""NOUN""]},{""start"":6,""end"":10,""text"":""Cup "",""labels"":[""NOUN""]},{""start"":10,""end"":16,""text"":""Final "",""labels"":[""NOUN""]},{""start"":16,""end"":21,""text"":""2023 "",""labels"":[""NUM""]},{""start"":21,""end"":25,""text"":""Ind "",""labels"":[""PROPN""]},{""start"":28,""end"":31,""text"":""Aus"",""labels"":[""PROPN""]},{""start"":25,""end"":28,""text"":""Vs "",""labels"":[""CONJ""]},{""start"":31,""end"":33,""text"":"": "",""labels"":[""X""]},{""start"":33,""end"":40,""text"":""Bharat "",""labels"":[""PROPN""]},{""start"":40,""end"":43,""text"":""की "",""labels"":[""NOUN""]},{""start"":43,""end"":47,""text"":""जीत "",""labels"":[""ADP""]},{""start"":50,""end"":54,""text"":""लिए "",""labels"":[""ADP""]},{""start"":54,""end"":66,""text"":""महाकालेश्वर "",""labels"":[""PROPN""]},{""start"":66,""end"":72,""text"":""मंदिर "",""labels"":[""NOUN""]},{""start"":72,""end"":76,""text"":""में "",""labels"":[""ADP""]},{""start"":76,""end"":80,""text"":""पूजा"",""labels"":[""NOUN""]}]","World Cup Final 2023 Ind Vs Aus: Bharat की जीत के लिए महाकालेश्वर मंदिर में पूजा","2025-01-24T14:23:47.931489Z"
77,"1","2025-01-24T14:25:50.921164Z",47,114.97500000000001,"[{""start"":0,""end"":6,""text"":""World "",""labels"":[""NOUN""]},{""start"":6,""end"":10,""text"":""Cup "",""labels"":[""NOUN""]},{""start"":10,""end"":16,""text"":""Final "",""labels"":[""NOUN""]},{""start"":16,""end"":21,""text"":""2023 "",""labels"":[""NUM""]},{""start"":21,""end"":25,""text"":""IND "",""labels"":[""PROPN""]},{""start"":28,""end"":31,""text"":""AUS"",""labels"":[""PROPN""]},{""start"":25,""end"":28,""text"":""Vs "",""labels"":[""CONJ""]},{""start"":31,""end"":33,""text"":"": "",""labels"":[""X""]},{""start"":33,""end"":39,""text"":""Final "",""labels"":[""NOUN""]},{""start"":42,""end"":45,""text"":""22 "",""labels"":[""NUM""]},{""start"":45,""end"":55,""text"":""खिलाड़ियों"",""labels"":[""NOUN""]},{""start"":56,""end"":59,""text"":""का "",""labels"":[""ADP""]},{""start"":59,""end"":64,""text"":""फेसऑफ"",""labels"":[""PROPN""]},{""start"":64,""end"":66,""text"":"", "",""labels"":[""X""]},{""start"":66,""end"":71,""text"":""भारत "",""labels"":[""PROPN""]},{""start"":71,""end"":74,""text"":""के "",""labels"":[""ADP""]},{""start"":74,""end"":77,""text"":""टॉप"",""labels"":[""ADJ""]},{""start"":77,""end"":78,""text"":""-"",""labels"":[""X""]},{""start"":78,""end"":80,""text"":""5 "",""labels"":[""NUM""]},{""start"":80,""end"":87,""text"":""बैटर्स "",""labels"":[""NOUN""]},{""start"":87,""end"":90,""text"":""के "",""labels"":[""ADP""]},{""start"":90,""end"":94,""text"":""नाम "",""labels"":[""NOUN""]},{""start"":94,""end"":96,""text"":""7 "",""labels"":[""NUM""]},{""start"":96,""end"":99,""text"":""शतक"",""labels"":[""NOUN""]}]","World Cup Final 2023 IND Vs AUS: Final के 22 खिलाड़ियों का फेसऑफ, भारत के टॉप-5 बैटर्स के नाम 7 शतक","2025-01-24T14:25:50.921164Z"
78,"1","2025-01-24T14:27:56.426452Z",48,119.55,"[{""start"":0,""end"":6,""text"":""Chhat "",""labels"":[""PROPN""]},{""start"":6,""end"":11,""text"":""Puja "",""labels"":[""PROPN""]},{""start"":11,""end"":15,""text"":""2023"",""labels"":[""NUM""]},{""start"":15,""end"":17,""text"":"": "",""labels"":[""X""]},{""start"":17,""end"":25,""text"":""नहाय-खाय"",""labels"":[""NOUN""]},{""start"":26,""end"":29,""text"":""के "",""labels"":[""ADP""]},{""start"":29,""end"":33,""text"":""साथ "",""labels"":[""ADP""]},{""start"":33,""end"":36,""text"":""छठ "",""labels"":[""PROPN""]},{""start"":36,""end"":44,""text"":""महापर्व "",""labels"":[""PROPN""]},{""start"":44,""end"":47,""text"":""की "",""labels"":[""ADP""]},{""start"":47,""end"":53,""text"":""शुरुआत"",""labels"":[""NOUN""]},{""start"":53,""end"":55,""text"":"": "",""labels"":[""X""]},{""start"":55,""end"":64,""text"":""व्रतियों "",""labels"":[""NOUN""]},{""start"":67,""end"":73,""text"":""Ganga "",""labels"":[""PROPN""]},{""start"":64,""end"":67,""text"":""ने "",""labels"":[""ADP""]},{""start"":73,""end"":77,""text"":""में "",""labels"":[""VERB""]},{""start"":77,""end"":82,""text"":""लगाई "",""labels"":[""VERB""]},{""start"":82,""end"":87,""text"":""डुबकी"",""labels"":[""NOUN""]}]","Chhat Puja 2023: नहाय-खाय के साथ छठ महापर्व की शुरुआत: व्रतियों ने Ganga में लगाई डुबकी","2025-01-24T14:27:56.426452Z"
79,"1","2025-01-24T14:30:31.145781Z",49,132.31799999999998,"[{""start"":0,""end"":10,""text"":""Interview "",""labels"":[""NOUN""]},{""start"":76,""end"":81,""text"":""Neta "",""labels"":[""PROPN""]},{""start"":81,""end"":84,""text"":""Ji "",""labels"":[""PROPN""]},{""start"":84,""end"":93,""text"":""NewsRoom "",""labels"":[""PROPN""]},{""start"":93,""end"":97,""text"":""Mein"",""labels"":[""ADP""]},{""start"":67,""end"":74,""text"":""वैष्णव "",""labels"":[""PROPN""]},{""start"":74,""end"":76,""text"":""| "",""labels"":[""X""]},{""start"":59,""end"":67,""text"":""अश्विनी "",""labels"":[""PROPN""]},{""start"":54,""end"":59,""text"":""बोले "",""labels"":[""VERB""]},{""start"":49,""end"":54,""text"":""क्या "",""labels"":[""PRON_WH""]},{""start"":46,""end"":49,""text"":""पर "",""labels"":[""ADP""]},{""start"":12,""end"":15,""text"":""ED "",""labels"":[""PROPN""]},{""start"":18,""end"":22,""text"":""CBI "",""labels"":[""PROPN""]},{""start"":15,""end"":18,""text"":""और "",""labels"":[""CONJ""]},{""start"":22,""end"":25,""text"":""के "",""labels"":[""ADP""]},{""start"":25,""end"":29,""text"":""काम "",""labels"":[""NOUN""]},{""start"":29,""end"":31,""text"":""पर"",""labels"":[""ADP""]},{""start"":32,""end"":37,""text"":""होने "",""labels"":[""VERB""]},{""start"":37,""end"":42,""text"":""वाले "",""labels"":[""ADP""]},{""start"":42,""end"":46,""text"":""वार "",""labels"":[""NOUN""]}]","Interview | ED और CBI के काम पर होने वाले वार पर क्या बोले अश्विनी वैष्णव | Neta Ji NewsRoom Mein","2025-01-24T14:30:31.145781Z"
41,"1","2025-01-24T12:49:02.475072Z",50,471.716,"[{""start"":0,""end"":8,""text"":""Raymond "",""labels"":[""PROPN""]},{""start"":8,""end"":11,""text"":""MD "",""labels"":[""PROPN""]},{""start"":11,""end"":18,""text"":""Divorce"",""labels"":[""PROPN""]},{""start"":18,""end"":20,""text"":"": "",""labels"":[""PROPN""]},{""start"":20,""end"":28,""text"":""Raymond "",""labels"":[""PROPN""]},{""start"":28,""end"":31,""text"":""के "",""labels"":[""ADP""]},{""start"":31,""end"":34,""text"":""MD "",""labels"":[""NOUN""]},{""start"":34,""end"":39,""text"":""गौतम "",""labels"":[""PROPN""]},{""start"":39,""end"":49,""text"":""सिंघानिया "",""labels"":[""PROPN""]},{""start"":49,""end"":55,""text"":""पत्नी "",""labels"":[""NOUN""]},{""start"":55,""end"":60,""text"":""नवाज "",""labels"":[""PROPN""]},{""start"":60,""end"":63,""text"":""से "",""labels"":[""ADP""]},{""start"":63,""end"":66,""text"":""अलग"",""labels"":[""ADJ""]},{""start"":67,""end"":70,""text"":""हुए"",""labels"":[""VERB""]}]","Raymond MD Divorce: Raymond के MD गौतम सिंघानिया पत्नी नवाज से अलग हुए","2025-01-24T12:49:02.475072Z"
